train,age,educ,black,hisp,married,earn96,unem96,earn98,unem98
1,27,8,1,0,0,0,1,3.596035957336426,0
1,38,11,1,0,0,0,1,0,1
0,26,11,1,0,0,0,1,12.60366344451904,0
1,25,8,1,0,0,0,1,2.035846710205078,0
1,31,11,1,0,1,0,1,0,1
0,17,10,1,0,0,0,1,0,1
1,25,11,1,0,0,0,1,4.789387226104736,0
1,21,12,1,0,0,0,1,1.007693767547607,0
1,44,11,1,0,0,0,1,0,1
0,18,9,1,0,0,0,1,0,1
1,42,12,1,0,0,0,1,5.872337341308594,0
0,25,10,1,0,0,0,1,9.812441825866699,0
0,24,10,1,0,0,0,1,0,1
0,26,10,1,0,0,0,1,5.877433776855469,0
1,25,11,1,0,0,0,1,0,1
0,18,11,1,0,0,0,1,.9476823806762695,0
0,19,11,1,0,0,0,1,0,1
0,43,9,1,0,0,0,1,1.968749523162842,0
0,27,13,1,0,0,0,1,0,1
1,17,9,1,0,0,0,1,0,1
1,30,11,1,0,0,0,1,23.43644714355469,0
0,26,10,1,0,1,0,1,19.80266380310059,0
1,20,9,1,0,0,0,1,1.951266288757324,0
1,20,12,1,0,0,.3304159939289093,0,4.912197113037109,0
0,18,11,1,0,0,.4291279911994934,0,2.209599494934082,0
0,27,12,1,0,1,.6680980324745178,0,.0783238410949707,0
0,27,12,1,0,0,.7159000039100647,0,4.247094631195068,0
1,20,12,1,0,0,.7551379799842834,0,29.0262336730957,0
0,19,10,1,0,0,.7705479860305786,0,6.437728881835938,0
0,23,12,1,0,0,1.002148032188416,0,10.47367286682129,0
0,29,14,1,0,0,1.35934591293335,0,2.336353302001953,0
1,18,10,1,0,0,1.597815990447998,0,9.925124168395996,0
1,19,9,1,0,0,1.597815990447998,0,16.26148223876953,0
1,27,9,1,0,1,1.868890047073364,0,2.910416603088379,0
1,22,12,1,0,0,1.872354030609131,0,24.52980041503906,0
1,23,10,1,0,1,1.872878074645996,0,8.948436737060547,0
1,20,11,1,0,0,2.441679954528809,0,19.39343643188477,0
1,17,9,1,0,0,2.506879806518555,0,.6307849884033203,0
0,28,11,1,0,0,2.568159818649292,0,11.14047718048096,0
1,26,11,1,0,1,2.785699844360352,0,10.35087299346924,0
0,20,11,1,0,0,2.969980001449585,0,13.41340065002441,0
1,24,11,1,0,1,3.332220077514648,0,8.936829566955566,0
1,31,9,1,0,0,3.397219896316528,0,5.048847198486328,0
1,18,10,1,0,0,3.568540096282959,0,0,1
1,29,12,1,0,0,3.634560108184814,0,20.80018424987793,0
1,24,9,1,0,0,4.577359676361084,0,13.72101211547852,0
1,25,12,1,0,0,4.818540096282959,0,10.25663185119629,0
0,24,10,1,0,0,4.843899726867676,0,5.328166961669922,0
1,46,8,1,0,0,5.18943977355957,0,7.717205047607422,0
1,19,11,1,0,0,5.230559825897217,0,19.35393905639648,0
1,19,8,1,0,0,5.314120292663574,0,0,1
1,27,11,1,0,0,5.332540035247803,0,9.03258228302002,0
1,26,11,1,0,1,5.509299755096436,0,9.656648635864258,0
1,20,10,1,0,0,5.554720401763916,0,5.880825042724609,0
1,28,10,1,0,0,5.673019886016846,0,9.992176055908203,0
0,24,12,1,0,0,5.685520172119141,0,11.95225811004639,0
1,19,8,1,0,0,5.874519824981689,0,0,1
1,23,12,1,0,0,6.079919815063477,0,3.77623462677002,0
1,42,9,1,0,1,6.11706018447876,0,8.305878639221191,0
1,25,13,1,0,0,6.181459903717041,0,8.56166934967041,0
0,18,9,1,0,0,6.574759960174561,0,6.042552947998047,0
1,21,12,1,0,0,6.664819717407227,0,5.147562026977539,0
1,27,10,1,0,0,7.100160121917725,0,10.72336387634277,0
1,21,8,1,0,0,7.391799926757813,0,5.292472839355469,0
1,22,9,1,0,0,7.673979759216309,0,15.47797966003418,0
1,31,4,1,0,0,8.046420097351074,0,0,1
1,24,10,1,0,1,8.156299591064453,0,16.73903656005859,0
1,29,10,1,0,0,8.797900199890137,0,22.21488952636719,0
1,29,12,1,0,0,9.757880210876465,0,11.78015995025635,0
1,31,9,1,0,0,11.03567981719971,0,12.43997478485107,0
0,22,10,1,0,1,11.17732048034668,0,5.421930313110352,0
1,21,9,1,0,0,11.49866008758545,0,16.2376594543457,0
1,17,10,1,0,0,11.58769989013672,0,7.490917205810547,0
0,26,12,1,0,1,11.58965969085693,0,18.53046607971191,0
1,19,10,1,0,0,12.11349964141846,0,8.568047523498535,0
0,28,11,1,0,0,13.74372005462646,0,13.81684875488281,0
0,33,11,1,0,0,15.73583984375,0,4.61651611328125,0
0,35,9,1,0,1,27.66119956970215,0,6.000209808349609,0
1,22,9,0,1,0,0,1,8.943302154541016,0
0,33,12,0,0,1,0,1,12.08923435211182,0
0,41,14,0,0,0,0,1,3.27660083770752,0
0,38,9,0,0,0,0,1,2.534676551818848,0
0,27,10,0,1,0,0,1,14.1253547668457,0
1,19,9,0,0,0,0,1,7.048984527587891,0
1,18,8,0,1,1,0,1,11.2064847946167,0
0,22,11,0,0,0,0,1,0,1
1,23,7,0,0,0,0,1,0,1
1,25,11,0,0,0,0,1,4.400693416595459,0
0,38,12,0,0,0,0,1,6.811372756958008,0
1,23,8,0,1,0,0,1,7.717041015625,0
0,21,12,0,0,0,0,1,.6610565185546875,0
1,25,12,0,0,0,0,1,9.359905242919922,0
1,31,9,0,1,0,0,1,0,1
1,17,9,0,1,0,.1486869901418686,0,17.58712768554688,0
1,21,12,0,0,0,.6680980324745178,0,7.703948974609375,0
1,27,13,0,0,1,1.707446098327637,0,7.319976806640625,0
1,18,11,0,0,0,1.839115977287292,0,6.738174438476563,0
1,23,12,0,1,0,2.234879970550537,0,13.85174369812012,0
1,23,8,0,0,1,3.426300048828125,0,9.171518325805664,0
1,26,11,0,0,0,4.452539920806885,0,17.76301956176758,0
1,31,12,0,0,0,5.222439765930176,0,9.262367248535156,0
1,19,10,0,0,0,10.64822006225586,0,26.6197395324707,0
1,19,11,0,1,1,10.92759990692139,0,26.00232315063477,0
1,20,9,0,1,0,11.75009918212891,0,14.87652969360352,0
0,22,12,0,1,1,14.11140060424805,0,4.558857440948486,0
0,22,12,0,0,0,16.9109992980957,0,14.40520668029785,0
0,29,10,0,1,0,17.70734024047852,0,14.11379241943359,0
0,50,12,1,0,1,0,1,.3219397068023682,0
0,28,12,1,0,1,0,1,1.532642364501953,0
1,25,12,1,0,0,0,1,0,1
0,50,12,1,0,1,0,1,0,1
1,23,12,1,0,0,0,1,0,1
0,34,14,1,0,1,0,1,9.39827823638916,0
1,36,12,1,0,1,0,1,0,1
0,36,12,1,0,1,17.90322113037109,0,24.83543586730957,0
0,33,13,1,0,1,21.48380088806152,0,17.08756065368652,0
1,43,12,1,0,1,3.759680032730103,0,14.45484924316406,0
0,24,12,1,0,0,0,1,2.13065242767334,0
1,23,12,1,0,0,6.445160388946533,0,8.857069969177246,0
0,22,12,1,0,1,0,1,0,1
0,20,12,1,0,0,25.06459999084473,0,17.49767875671387,0
1,21,12,1,0,0,10.92096042633057,0,11.34097003936768,0
1,22,12,1,0,1,4.941299915313721,0,13.59906005859375,0
1,20,12,1,0,0,8.951620101928711,0,5.616735458374023,0
1,28,12,1,0,0,5.729040145874023,0,16.0671215057373,0
0,24,12,1,0,0,9.309679985046387,0,4.016609668731689,0
0,22,12,1,0,0,34.26679992675781,0,9.513391494750977,0
0,20,12,1,0,0,17.90322113037109,0,1.892781257629395,0
1,27,12,1,0,1,3.988840103149414,0,7.470744132995605,0
0,23,12,1,0,1,5.729040145874023,0,12.74183654785156,0
0,23,12,1,0,1,23.27419853210449,0,6.112253189086914,0
1,19,12,1,0,0,16.11289978027344,0,15.06954765319824,0
1,21,12,1,0,1,6.087100028991699,0,6.277751922607422,0
0,24,12,1,0,1,17.90322113037109,0,8.860458374023438,0
0,31,12,1,0,1,22.1284008026123,0,22.07841873168945,0
1,22,12,1,0,0,20.73559951782227,0,0,1
0,20,13,1,0,0,25.06459999084473,0,14.58222961425781,0
0,23,12,1,0,0,25.06459999084473,0,22.65157508850098,0
1,22,12,1,0,0,8.951620101928711,0,12.1921443939209,0
0,21,12,1,0,0,22.91619873046875,0,15.06353759765625,0
0,27,12,1,0,1,0,1,0,1
1,27,13,1,0,1,8.192519187927246,0,9.794546127319336,0
0,24,12,1,0,1,28.64519882202148,0,19.97768020629883,0
0,28,15,1,0,0,0,1,16.83185577392578,0
0,53,14,1,0,1,16.84335899353027,0,11.81528759002686,0
1,19,12,1,0,0,7.519360065460205,0,9.208683013916016,0
0,32,12,1,0,1,10.74194049835205,0,6.313043594360352,0
0,20,12,1,0,1,17.90322113037109,0,2.33148193359375,0
0,27,12,1,0,1,17.90322113037109,0,3.336755752563477,0
0,23,12,1,0,1,25.06459999084473,0,16.17204856872559,0
0,23,12,1,0,1,26.85480117797852,0,22.06402778625488,0
1,21,12,1,0,1,26.18519973754883,0,18.26644134521484,0
0,24,12,1,0,1,30.83300018310547,0,7.828292846679688,0
1,26,12,1,0,1,17.18709945678711,0,11.07874202728271,0
0,23,14,1,0,1,20.79640007019043,0,20.84107780456543,0
1,25,12,1,0,0,12.53225994110107,0,10.5353889465332,0
0,23,12,1,0,1,24.3484001159668,0,19.63928985595703,0
0,27,12,1,0,0,28.64519882202148,0,8.469703674316406,0
0,21,12,1,0,0,29.71940040588379,0,20.51522827148438,0
0,23,14,1,0,1,25.06459999084473,0,19.74226188659668,0
0,23,16,1,0,0,32.98139953613281,0,23.71117210388184,0
1,27,12,1,0,1,10.74194049835205,0,.9766561985015869,0
0,21,12,1,0,1,14.32258033752441,0,9.977707862854004,0
1,23,12,1,0,1,16.54257965087891,0,.976111888885498,0
1,21,14,1,0,0,10.74194049835205,0,20.45917701721191,0
1,27,12,1,0,1,0,1,2.895140647888184,0
0,21,12,1,0,1,8.593540191650391,0,11.67768383026123,0
0,33,12,1,0,0,17.90322113037109,0,19.84369277954102,0
0,22,12,1,0,1,21.48380088806152,0,17.50962066650391,0
0,29,12,1,0,1,25.06459999084473,0,17.74960899353027,0
0,23,12,1,0,1,25.06459999084473,0,21.60765075683594,0
0,27,12,1,0,1,28.64519882202148,0,9.064324378967285,0
0,24,12,1,0,1,28.64519882202148,0,15.20323944091797,0
0,26,12,1,0,0,21.48380088806152,0,25.35188674926758,0
0,31,12,1,0,1,17.90322113037109,0,17.85840034484863,0
0,25,13,1,0,0,30.79360008239746,0,8.85814380645752,0
1,27,12,1,0,0,6.445160388946533,0,13.00546836853027,0
0,27,12,1,0,1,17.90322113037109,0,16.82942581176758,0
0,24,12,1,0,0,18.61935997009277,0,5.757001876831055,0
0,20,12,1,0,0,32.74499893188477,0,14.98260498046875,0
1,26,12,1,0,1,2.148379802703857,0,2.682976722717285,0
0,23,12,1,0,1,15.62594032287598,0,4.13715124130249,0
0,24,12,1,0,0,26.13880157470703,0,22.54895782470703,0
0,23,12,1,0,0,5.370959758758545,0,14.61352920532227,0
1,28,14,1,0,1,0,1,0,1
0,29,12,1,0,1,19.69353866577148,0,17.00081634521484,0
0,24,13,1,0,1,21.48380088806152,0,16.85551071166992,0
0,21,12,1,0,1,28.64519882202148,0,19.86971855163574,0
0,25,12,1,0,1,28.64519882202148,0,8.918280601501465,0
0,22,13,1,0,1,30.43540000915527,0,27.78287315368652,0
0,27,15,1,0,0,33.48979949951172,0,13.45803642272949,0
0,26,12,1,0,1,28.30140113830566,0,26.06286430358887,0
0,25,13,1,0,1,27.64980125427246,0,17.02814674377441,0
0,30,12,1,0,1,21.48380088806152,0,24.5345573425293,0
1,37,17,1,0,1,2.613879919052124,0,12.36337089538574,0
0,23,12,1,0,0,28.64519882202148,0,1.408885955810547,0
0,27,12,1,0,1,24.70639991760254,0,18.0309944152832,0
0,22,12,1,0,1,26.85480117797852,0,23.23273277282715,0
1,22,12,1,0,1,0,1,.8673548698425293,0
0,25,12,1,0,1,16.47096061706543,0,5.27107048034668,0
0,33,12,1,0,0,22.20000076293945,0,0,1
0,55,16,1,0,1,23.99040031433105,0,3.006868839263916,0
0,47,12,1,0,1,24.86759948730469,0,8.395852088928223,0
0,20,12,1,0,1,25.06459999084473,0,11.85360050201416,0
1,26,12,1,0,1,25.06459999084473,0,17.07985305786133,0
0,21,12,1,0,0,26.67939949035645,0,24.84435844421387,0
0,24,12,1,0,1,32.22579956054688,0,30.13930511474609,0
0,29,12,1,0,1,30.79360008239746,0,16.23929786682129,0
1,24,12,1,0,1,23.63219833374023,0,14.14659881591797,0
0,22,14,1,0,1,25.06459999084473,0,20.8006420135498,0
0,27,12,1,0,1,26.85480117797852,0,20.7567195892334,0
0,28,12,1,0,1,29.71940040588379,0,10.47914981842041,0
0,22,12,1,0,1,29.36119842529297,0,10.05475044250488,0
0,42,12,1,0,1,22.37180137634277,0,13.32610702514648,0
0,22,13,1,0,1,28.64159965515137,0,24.78912353515625,0
1,26,12,1,0,1,17.90322113037109,0,18.48308563232422,0
0,25,12,1,0,1,7.476379871368408,0,16.34171295166016,0
0,28,15,1,0,1,18.90579986572266,0,17.64171028137207,0
0,21,13,1,0,1,25.06459999084473,0,4.276408672332764,0
0,54,16,1,0,1,28.64519882202148,0,12.52427577972412,0
0,21,12,1,0,1,19.69353866577148,0,9.127424240112305,0
1,23,12,1,0,1,20.98259925842285,0,28.63904571533203,0
0,43,12,1,0,1,21.48380088806152,0,7.648383140563965,0
0,27,14,1,0,1,0,1,6.505778312683105,0
1,21,12,1,0,0,1.432258009910583,0,6.306186676025391,0
0,25,12,1,0,1,10.74194049835205,0,5.091350555419922,0
1,31,12,1,0,1,3.007740020751953,0,13.44712257385254,0
1,54,3,1,0,0,0,1,0,1
1,54,3,1,0,1,0,1,1.181704521179199,0
1,54,3,1,0,1,0,1,0,1
0,54,3,1,0,1,0,1,0,1
1,53,4,1,0,0,0,1,0,1
0,51,4,1,0,1,0,1,0,1
1,51,5,1,0,0,0,1,0,1
1,46,6,1,0,1,0,1,5.672294616699219,0
1,41,6,1,0,1,0,1,0,1
1,45,7,1,0,1,0,1,0,1
1,55,8,1,0,1,0,1,0,1
1,53,8,1,0,1,0,1,0,1
0,45,9,1,0,1,0,1,0,1
0,45,9,1,0,1,0,1,6.889043807983398,0
1,23,9,1,0,0,0,1,5.918540954589844,0
1,54,10,1,0,1,0,1,0,1
1,54,10,1,0,1,0,1,6.649867057800293,0
0,25,11,1,0,0,0,1,0,1
1,23,11,1,0,0,0,1,2.559506416320801,0
0,23,11,1,0,0,0,1,3.50071907043457,0
1,52,10,1,0,1,0,1,2.350481986999512,0
1,43,9,1,0,1,0,1,7.031360626220703,0
0,54,4,1,0,1,0,1,9.378281593322754,0
1,49,4,1,0,1,0,1,5.308681488037109,0
1,21,8,1,0,0,1.790322065353394,0,2.024323463439941,0
1,21,11,1,0,0,19.69353866577148,0,13.8614387512207,0
0,43,3,1,0,1,0,1,0,1
1,52,6,1,0,1,2.492120027542114,0,14.9910888671875,0
0,52,7,1,0,0,10.02579975128174,0,0,1
0,29,11,1,0,1,0,1,0,1
1,31,6,1,0,0,1.110000014305115,0,1.569539070129395,0
1,23,10,1,0,0,10.74194049835205,0,5.15571117401123,0
1,19,11,1,0,0,0,1,.7532944679260254,0
0,35,9,1,0,0,10.74194049835205,0,6.698657989501953,0
1,21,10,1,0,0,16.29194068908691,0,11.85735130310059,0
0,41,8,1,0,1,16.75741958618164,0,11.69796085357666,0
0,41,8,1,0,1,16.75741958618164,0,15.84684944152832,0
1,20,8,1,0,0,7.304520130157471,0,11.64675998687744,0
1,30,9,1,0,0,.3258379995822906,0,2.114789009094238,0
1,29,10,1,0,0,5.370959758758545,0,12.2131462097168,0
1,22,11,1,0,0,0,1,11.94186115264893,0
0,25,10,1,0,0,10.74194049835205,0,3.158259391784668,0
1,20,8,1,0,0,3.677320003509521,0,18.52963829040527,0
0,40,4,1,0,0,3.86710000038147,0,4.137563228607178,0
1,22,9,1,0,0,8.690219879150391,0,0,1
1,24,10,1,0,0,7.805799961090088,0,1.781678199768066,0
1,19,6,1,0,0,0,1,2.160630226135254,0
1,50,10,1,0,1,0,1,3.735830783843994,0
1,38,3,1,0,1,11.45805931091309,0,4.409851551055908,0
1,38,3,1,0,1,11.45805931091309,0,16.36780166625977,0
1,43,10,1,0,1,4.296779632568359,0,8.991579055786133,0
0,30,6,1,0,1,6.803220272064209,0,0,1
1,35,10,1,0,1,7.590960025787354,0,6.093267440795898,0
1,35,10,1,0,1,7.590960025787354,0,18.29495811462402,0
1,35,10,1,0,1,7.590960025787354,0,13.86183166503906,0
0,44,11,1,0,1,10.74194049835205,0,0,1
1,23,10,1,0,0,14.32258033752441,0,19.99957275390625,0
0,41,8,1,0,1,22.34319877624512,0,12.30994129180908,0
0,39,5,1,0,1,26.85480117797852,0,10.28446483612061,0
0,39,5,1,0,1,26.85480117797852,0,17.22618293762207,0
0,39,5,1,0,1,26.85480117797852,0,18.6089973449707,0
0,25,11,1,0,0,23.27419853210449,0,10.82095432281494,0
1,38,9,1,0,1,15.88374042510986,0,15.01514434814453,0
0,50,9,1,0,1,14.93846035003662,0,1.092159748077393,0
0,22,11,1,0,1,12.37470054626465,0,25.34334945678711,0
1,19,10,1,0,0,6.874839782714844,0,2.777827262878418,0
1,25,10,1,0,1,8.564900398254395,0,21.96898078918457,0
0,47,6,1,0,1,8.593540191650391,0,4.221725463867188,0
0,24,8,1,0,1,10.74194049835205,0,14.05903625488281,0
0,44,11,1,0,0,12.53225994110107,0,4.513418197631836,0
0,24,11,1,0,1,0,1,7.606671333312988,0
0,19,11,1,0,1,15.18194007873535,0,15.33395004272461,0
0,22,11,1,0,0,26.85480117797852,0,17.42397880554199,0
1,30,6,1,0,1,0,1,8.791489601135254,0
1,50,10,1,0,1,0,1,0,1
1,26,8,1,0,1,8.593540191650391,0,12.68595695495605,0
1,46,6,1,0,0,19.35696029663086,0,0,1
0,38,10,1,0,1,0,1,0,1
0,24,9,1,0,0,10.74194049835205,0,6.135835647583008,0
0,55,3,1,0,1,10.74194049835205,0,.2544000148773193,0
1,40,5,1,0,1,10.74194049835205,0,4.198843002319336,0
0,25,9,1,0,1,12.53225994110107,0,23.14938545227051,0
0,43,7,1,0,1,13.63151931762695,0,7.27350902557373,0
0,18,11,1,0,0,13.86425971984863,0,11.84544658660889,0
0,28,7,1,0,1,16.28478050231934,0,11.06857967376709,0
0,52,4,1,0,1,23.27419853210449,0,0,1
1,22,8,1,0,1,24.0620002746582,0,9.006879806518555,0
0,34,7,1,0,1,25.06459999084473,0,17.15833854675293,0
0,31,9,1,0,1,11.24321937561035,0,19.2911205291748,0
0,27,8,1,0,0,13.24837970733643,0,5.527305603027344,0
1,32,11,1,0,1,0,1,10.59425354003906,0
1,49,5,1,0,0,11.45805931091309,0,1.709758281707764,0
0,33,8,1,0,1,17.15846061706543,0,19.3792552947998,0
0,26,8,1,0,1,7.161299705505371,0,9.968996047973633,0
0,20,10,1,0,1,13.66374015808105,0,0,1
0,45,8,1,0,1,19.07410049438477,0,2.773394107818604,0
0,33,11,1,0,1,23.27419853210449,0,5.511017799377441,0
0,41,3,1,0,1,6.445160388946533,0,2.497183322906494,0
1,25,7,1,0,1,21.48380088806152,0,23.44671058654785,0
0,35,11,1,0,1,17.11548042297363,0,9.184956550598145,0
0,35,11,1,0,1,17.11548042297363,0,17.33778190612793,0
0,41,4,1,0,0,10.74194049835205,0,0,1
0,36,6,1,0,0,14.89548015594482,0,0,1
1,52,5,1,0,1,8.593540191650391,0,8.240914344787598,0
1,52,5,1,0,1,8.593540191650391,0,0,1
0,29,10,1,0,1,16.24538040161133,0,3.557393074035645,0
1,42,10,1,0,0,3.437419891357422,0,6.510007858276367,0
1,22,11,1,0,1,10.02579975128174,0,8.582098960876465,0
1,27,11,1,0,1,10.74194049835205,0,15.23705673217773,0
0,42,5,1,0,1,14.32258033752441,0,15.52376937866211,0
0,42,5,1,0,1,14.32258033752441,0,14.79173278808594,0
1,28,9,1,0,1,16.47096061706543,0,6.35651683807373,0
0,45,9,1,0,1,17.90322113037109,0,17.1989631652832,0
0,45,6,1,0,1,17.90322113037109,0,1.963938236236572,0
0,34,9,1,0,1,22.42200088500977,0,13.80233383178711,0
0,49,5,1,0,1,15.39678001403809,0,5.774733543395996,0
0,27,7,1,0,1,14.32258033752441,0,16.29066848754883,0
0,21,11,1,0,1,9.696379661560059,0,6.626386642456055,0
0,54,6,1,0,1,0,1,0,1
0,40,9,1,0,1,13.14453983306885,0,10.29994869232178,0
0,41,5,1,0,1,21.48380088806152,0,16.39243125915527,0
0,29,10,1,0,1,16.64999961853027,0,3.140144348144531,0
0,29,10,1,0,1,21.78459930419922,0,8.519603729248047,0
0,26,10,1,0,1,0,1,0,1
0,40,8,1,0,1,16.11289978027344,0,8.785052299499512,0
0,40,7,1,0,1,17.90322113037109,0,13.64941596984863,0
0,49,7,1,0,0,22.54019927978516,0,0,1
0,50,8,1,0,1,19.69353866577148,0,6.213848114013672,0
0,24,8,1,0,1,26.0669994354248,0,26.51604270935059,0
0,24,10,1,0,1,13.24837970733643,0,5.313362121582031,0
0,30,11,1,0,1,17.61677932739258,0,14.46541595458984,0
1,26,10,1,0,1,9.846779823303223,0,20.33015632629395,0
0,50,5,1,0,1,20.27359962463379,0,10.0837287902832,0
0,22,10,1,0,1,18.04646110534668,0,22.39945983886719,0
0,40,7,1,0,1,17.34822082519531,0,13.78062438964844,0
1,52,5,1,0,1,2.148379802703857,0,7.037315368652344,0
0,49,5,1,0,1,10.74194049835205,0,12.72332382202148,0
0,20,10,1,0,1,10.74194049835205,0,14.86809158325195,0
0,44,5,1,0,1,17.90322113037109,0,.6465485095977783,0
0,34,9,1,0,1,17.90322113037109,0,10.41620826721191,0
0,46,9,1,0,0,18.61935997009277,0,18.89083671569824,0
0,47,4,1,0,0,21.48380088806152,0,.4250211715698242,0
0,24,11,1,0,1,21.48380088806152,0,6.318466186523438,0
0,39,5,1,0,1,21.48380088806152,0,0,1
0,32,11,1,0,0,28.64519882202148,0,16.7791576385498,0
0,23,11,1,0,1,12.53225994110107,0,22.39850616455078,0
0,39,11,1,0,1,23.27419853210449,0,20.2421875,0
0,41,10,1,0,1,29.51519966125488,0,22.3730297088623,0
0,32,10,1,0,0,17.90322113037109,0,18.35994148254395,0
0,40,5,1,0,1,24.3484001159668,0,4.173168182373047,0
0,37,11,1,0,1,27.92900085449219,0,11.41816806793213,0
0,37,11,1,0,1,27.92900085449219,0,13.13501358032227,0
1,29,10,1,0,1,14.60904026031494,0,17.43286895751953,0
0,28,7,1,0,1,16.52109909057617,0,16.36566734313965,0
1,39,9,1,0,1,19.33547973632813,0,8.00489330291748,0
1,39,9,1,0,1,19.33547973632813,0,24.58988952636719,0
0,34,8,1,0,1,25.06459999084473,0,23.22575759887695,0
0,49,10,1,0,1,0,1,1.964118003845215,0
0,49,10,1,0,1,0,1,0,1
0,47,6,1,0,1,16.11289978027344,0,4.545552730560303,0
0,30,9,1,0,1,17.90322113037109,0,13.46810531616211,0
0,31,9,1,0,1,17.90322113037109,0,10.73606872558594,0
0,44,7,1,0,1,21.48380088806152,0,20.08161735534668,0
1,48,10,1,0,1,10.74194049835205,0,20.46953773498535,0
0,27,11,1,0,1,7.877419948577881,0,8.119363784790039,0
0,22,11,1,0,0,14.32258033752441,0,10.01959609985352,0
1,22,11,1,0,0,10.38387966156006,0,8.974745750427246,0
0,26,6,1,0,1,19.61477851867676,0,10.35568618774414,0
0,22,9,1,0,1,20.83940124511719,0,17.28574371337891,0
0,33,6,1,0,1,11.91637992858887,0,0,1
1,34,11,1,0,0,4.296779632568359,0,1.029886245727539,0
1,23,11,1,0,1,11.63709926605225,0,15.46558952331543,0
0,25,9,1,0,0,14.32258033752441,0,7.438398361206055,0
1,28,9,1,0,1,14.32258033752441,0,20.0910758972168,0
0,35,11,1,0,1,17.90322113037109,0,1.964716911315918,0
0,29,10,1,0,1,19.56105995178223,0,18.72438812255859,0
0,42,8,1,0,1,21.48380088806152,0,2.185140609741211,0
0,47,11,1,0,1,21.48380088806152,0,5.784247398376465,0
0,39,10,1,0,0,25.06459999084473,0,14.93552780151367,0
0,43,8,1,0,1,25.06459999084473,0,11.73940849304199,0
0,43,8,1,0,1,25.06459999084473,0,26.73408699035645,0
0,28,10,1,0,1,30.43540000915527,0,10.10449695587158,0
